,车牌号,车牌颜色,车辆种类,是否为运政车辆,辖区省,辖区市,辖区县,辖区镇,业户代码,业户名称,运营商代码,运营商名称,设备编码,终端类型,首次上传时间,最近定位时间,最近经度,最近纬度,GPS安装情况,是否上传GPS数据,年审日期,状态
1820,粤G52510,黄色,客运班车,是,广东,湛江,霞山,,A1080776,湛江市京通运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/11/6 0:00:00,2018/11/1 11:31:29,112.3792,22.305,已安装符合部标+北斗,是,2018-10-23,营运
1821,粤G40538,黄色,客运班车,是,广东,湛江,霞山,,G1000040,广东省湛江市交通运输集团客运有限公司,1443364866,广东恒慧信息科技有限公司,10890,北斗,2008/11/14 0:00:00,2018-11-02 21:04:31,112.3756,22.3068,已安装符合部标+北斗,是,2018-08-24,营运
1822,粤G41863,黄色,重型货车,是,广东,湛江,开发区,东山,G1048275,湛江市达安运输有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2018/9/30 10:44:57,2018-11-02 21:03:03,110.4024,21.1667,已安装符合部标+北斗,是,2018-09-30,营运
1823,粤GR4010,黄色,重型货车,是,广东,湛江,遂溪,黄略,G6012520,王智雄,1443364875,广州航德信息科技有限公司,10476,北斗,2013/12/30 0:00:00,2018-11-02 21:04:15,110.2701,21.3074,已安装符合部标+北斗,是,2018-10-30,营运
1824,粤G52525,黄色,重型货车,是,广东,湛江,遂溪,遂城,G6012985,许理根,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2013/11/4 0:00:00,2018-11-02 21:03:10,109.7618,21.2052,已安装符合部标+北斗,是,2018-07-25,营运
1825,粤GU6441,黄色,重型货车,是,广东,湛江,廉江,,G3352632,王秀平,1443364866,广东恒慧信息科技有限公司,10476,北斗,2016/11/9 0:00:00,2018-11-02 21:04:54,110.3863,21.1733,已安装符合部标+北斗,是,2018-01-19,营运
1826,粤G52521,黄色,重型货车,是,广东,湛江,霞山,,G1000766,湛江市港恒货运服务有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/1/9 11:02:36,2018-11-02 18:25:19,110.3693,21.1556,已安装符合部标+北斗,是,2018-01-30,营运
1827,粤GU6445,黄色,客运班车,是,广东,湛江,廉江,,G3000003,廉江市汽车客运公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/12/29 0:00:00,2018-11-02 18:57:55,110.2856,21.6005,已安装符合部标+北斗,是,2018-09-20,营运
1828,粤GU6445,蓝色,普通货运,是,广东,湛江,廉江,,G3348254,吴天锦,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2009-01-07,注销
1829,粤G52F36,蓝色,出租客运,是,广东,湛江,城区,,G1030326,湛江市东锐小汽车出租有限公司,1443364869,湛江丽普盾高新科技有限公司,10872,北斗,2016/11/30 18:07:18,2018-11-02 21:04:40,110.3865,21.2663,已安装符合部标+北斗,是,2018-06-27,营运
1830,粤G41877,黄色,重型货车,是,广东,湛江,雷州,龙门,G2029089,朱玉世,1443364875,广州航德信息科技有限公司,10476,北斗,2010/12/14 0:00:00,2018-11-02 21:04:08,110.0376,20.6946,已安装符合部标+北斗,是,2017-09-13,营运
1831,粤G41877,蓝色,,否,广东,湛江,,,,,1443364875,广州航德信息科技有限公司,10476,北斗,2018/9/27 16:36:43,2018-11-02 00:40:11,110.0376,20.6945,已安装符合部标+北斗,是,,
1832,粤G52F32,蓝色,出租客运,是,广东,湛江,城区,,G1030326,湛江市东锐小汽车出租有限公司,1443364869,湛江丽普盾高新科技有限公司,10872,北斗,2016/11/30 18:07:18,2018-11-02 21:05:08,110.2845,21.2447,已安装符合部标+北斗,是,2018-02-07,营运
1833,粤GR7991,黄色,重型货车,是,广东,湛江,霞山,,G1057892,陈沈杰,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/8/15 11:15:50,2018-11-02 11:43:02,110.3807,21.2038,已安装符合部标+北斗,是,2018-01-15,营运
1834,粤G51249,黄色,重型货车,是,广东,湛江,霞山,,G1006538,黄文海,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2015/4/8 0:00:00,2018-11-02 21:04:16,110.3807,21.2235,已安装符合部标+北斗,是,2018-10-18,营运
1835,粤G81A78,蓝色,危险货运,是,广东,湛江,霞山,,G1031020,湛江市铭记物流有限公司,1443364866,广东恒慧信息科技有限公司,10383,北斗,2015/7/16 0:00:00,2018-11-02 21:05:07,110.4044,21.2157,已安装符合部标+北斗,是,2018-08-28,营运
1836,粤G38272,黄色,危险货运,是,广东,湛江,徐闻,西连,G1057900,徐闻赛德物流有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/7/7 17:21:21,2018-11-02 11:34:22,110.0265,20.6988,已安装符合部标+北斗,是,,营运
1837,粤G38272,黄色,重型货车,是,广东,湛江,麻章,湖光,G1002342,钟东悦,,,,未知,2011/5/5 16:00:38,2018-11-02 11:34:22,110.0265,20.6988,其他,是,2009-03-02,注销
1838,粤G52575,黄色,,否,广东,湛江,城区,,,,1443364866,广东恒慧信息科技有限公司,10383,北斗,2017/10/13 11:42:29,2018/10/27 5:00:43,110.5025,20.9771,已安装符合部标+北斗,是,,
1839,粤GU6470,黄色,客运班车,是,广东,湛江,廉江,,G3000003,廉江市汽车客运公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2014/5/29 0:00:00,2018-11-02 17:47:49,110.2858,21.6005,已安装符合部标+北斗,是,2018-10-15,营运
1840,粤G52578,黄色,客运班车,是,广东,湛江,霞山,,A1080776,湛江市京通运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/11/28 0:00:00,2018-11-02 19:18:54,110.7593,21.4096,已安装符合部标+北斗,是,2018-08-27,营运
1841,粤G52576,黄色,重型货车,是,广东,湛江,麻章,湖光,G1025862,王华兴,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/7/18 15:03:12,2018-11-02 21:04:53,110.3807,21.2223,已安装符合部标+北斗,是,2017-07-04,营运
1842,粤GU6477,黄色,客运班车,是,广东,湛江,廉江,石城,G3000002,廉江市第三汽车运输公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/12/3 0:00:00,2018-11-02 21:04:06,110.2822,21.6037,已安装符合部标+北斗,是,2018-05-31,营运
1843,粤GU5147,黄色,客运班车,是,广东,湛江,廉江,,G3000001,广东省湛江汽车运输集团有限公司五0七车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/8/15 9:10:22,2018-11-02 21:02:53,110.2853,21.6004,已安装符合部标+北斗,是,2018-05-31,营运
1844,粤G51240,黄色,重型货车,是,广东,湛江,霞山,,G1039641,湛江兴岳物流有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2013/7/17 0:00:00,2018-11-02 21:02:31,110.374,21.2388,已安装符合部标+北斗,是,2018-10-18,营运
1845,粤G93056,黄色,重型货车,是,广东,湛江,雷州,企水,G2017633,吴堪连,1443364875,广州航德信息科技有限公司,10476,北斗,2017/11/6 10:31:02,2018-11-02 21:05:56,110.0572,20.9431,已安装符合部标+北斗,是,2018-07-18,营运
1846,粤G93058,黄色,重型货车,是,广东,湛江,赤坎,,G1048464,郑启程,1443364869,湛江丽普盾高新科技有限公司,10765,北斗,2017/8/4 0:00:00,2018/10/27 15:16:18,110.2919,21.2773,已安装符合部标+北斗,是,2017-08-07,营运
1847,粤G51253,黄色,重型货车,是,广东,湛江,坡头,官渡,G1042765,黄兴霖,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/5/3 14:31:48,2018-11-02 21:05:13,113.2624,22.2544,已安装符合部标+北斗,是,2018-02-28,营运
1848,粤G51259,黄色,重型货车,是,广东,湛江,霞山,,G1006538,黄文海,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2013/10/25 0:00:00,2018-11-02 21:02:47,110.3816,21.2183,已安装符合部标+北斗,是,2018-10-18,营运
1849,粤GU7798,黄色,客运班车,是,广东,湛江,廉江,石城,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2009/1/13 0:00:00,2018-11-02 21:02:46,110.2854,21.6001,已安装符合部标+北斗,是,2018-08-13,营运
1850,粤G93050,黄色,客运班车,是,广东,湛江,廉江,,G3000003,廉江市汽车客运公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2017/10/27 10:48:53,2018-11-02 17:38:19,110.2854,21.6005,已安装符合部标+北斗,是,2018-10-19,营运
1851,粤GR7971,黄色,客运班车,是,广东,湛江,遂溪,,G6000002,遂溪县陆通运输有限公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10874,北斗,2013/1/25 0:00:00,2018-11-01 15:38:24,110.2635,21.3803,已安装符合部标+北斗,是,2018-02-01,营运
1852,粤GR7971,蓝色,普通货运,是,广东,湛江,遂溪,洋青,G6009352,林李宽,,,,未知,,2012/4/19 9:00:34,0,0,其他,是,2012-04-18,注销
1853,粤G51228,黄色,重型货车,是,广东,湛江,麻章,麻章,G1026220,湛江市麻章区弘倡运输有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2013/3/4 0:00:00,2018-11-02 21:05:43,110.2315,21.341,已安装符合部标+北斗,是,2018-09-07,营运
1854,粤G52F70,蓝色,出租客运,是,广东,湛江,城区,,G1030326,湛江市东锐小汽车出租有限公司,1443364869,湛江丽普盾高新科技有限公司,10872,北斗,2016/11/30 18:07:18,2018-11-02 21:00:50,110.3727,21.2876,已安装符合部标+北斗,是,2017-09-28,营运
1855,粤G38251,黄色,重型货车,是,广东,湛江,麻章,太平,G1037073,李太财,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2012/10/16 0:00:00,2018-11-02 21:06:18,110.168,21.0856,已安装符合部标+北斗,是,2018-07-02,营运
1856,粤G38252,黄色,重型货车,是,广东,湛江,霞山,,G1048377,陈伟宏,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2014/10/11 0:00:00,2018-11-02 21:05:54,110.2868,21.4202,已安装符合部标+北斗,是,2018-07-12,营运
1857,粤G81A97,白色,,否,广东,湛江,,,,,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/6/19 6:25:32,2017/7/6 5:30:12,110.395,21.2157,已安装符合部标,是,,
1858,粤G81A97,蓝色,出租客运,是,广东,湛江,城区,,G1045848,湛江市瑞腾出租车有限责任公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10174,JT808,2017/8/15 16:48:52,2018-11-02 21:07:02,110.401,21.201,已安装符合部标,是,2018-07-13,营运
1859,粤G93065,黄色,重型货车,是,广东,湛江,麻章,麻章,G1002218,吴木钦,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/5/8 16:46:43,2018-11-02 21:05:06,110.2188,21.251,已安装符合部标+北斗,是,2018-05-11,营运
1860,粤G93066,黄色,重型货车,是,广东,湛江,廉江,,G3352163,张明,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/8/9 0:00:00,2018-11-02 21:06:59,110.2683,21.5807,已安装符合部标+北斗,是,2018-08-20,营运
1861,粤G52553,黄色,,否,广东,湛江,,,,,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10765,北斗,2018/3/17 11:58:44,2018-11-02 21:07:05,110.3836,21.2446,已安装符合部标+北斗,是,,
1862,粤G52553,黄色,重型货车,是,广东,湛江,霞山,,G1027986,广东建龙混凝土有限公司,1443364879,湛江市瑞德电子科技有限公司,10730,北斗,2016/5/25 13:05:25,2018-11-02 21:07:05,110.3836,21.2446,已安装符合部标+北斗,是,2015-04-17,注销
1863,粤G38255,黄色,危险货运,是,广东,湛江,吴川,浅水,G1048347,吴川市茂兴运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/7/26 11:47:39,2018-11-02 21:04:07,110.8241,21.7181,已安装符合部标+北斗,是,,营运
1864,粤G52552,黄色,客运班车,是,广东,湛江,霞山,,A1080776,湛江市京通运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/11/20 0:00:00,2018-11-02 21:06:24,110.3747,21.3685,已安装符合部标+北斗,是,2018-02-27,营运
1865,粤G38253,黄色,客运班车,是,广东,湛江,赤坎,,A1087667,湛江粤达汽车客运有限公司,1443364872,湛江粤嘉电子科技有限公司,10765,北斗,2007/4/30 0:00:00,2018-11-02 03:17:23,110.3857,21.1886,已安装符合部标+北斗,是,2018-03-23,营运
1866,粤G51226,黄色,重型货车,是,广东,湛江,遂溪,遂城,G6005163,陆区,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2015/2/2 10:44:41,2018-11-02 21:06:18,110.077,21.1729,已安装符合部标+北斗,是,2018-09-06,营运
1867,粤G51226,蓝色,,否,广东,湛江,,,,,1443233836,佛山市顺德区绿盾防盗器材设备有限公司,10006,JT808,2015/2/4 18:38:21,2015/2/14 15:51:35,110.3694,21.286,已安装符合部标,是,,
1868,粤G52555,黄色,重型货车,是,广东,湛江,霞山,,G1039641,湛江兴岳物流有限公司,1443364875,广州航德信息科技有限公司,10476,北斗,2017/7/27 7:14:51,2018/10/24 14:37:07,109.1991,19.7692,已安装符合部标+北斗,是,2018-05-22,营运
1869,粤GU6498,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2013/1/28 0:00:00,2018-11-02 21:06:17,110.2708,21.5857,已安装符合部标+北斗,是,2018-07-13,营运
1870,粤GE1409,黄色,重型货车,是,广东,湛江,雷州,附城,G2017034,陈有森,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/2/20 0:00:00,2018-11-02 21:07:33,109.9887,21.2753,已安装符合部标+北斗,是,2018-09-11,营运
1871,粤GE1401,黄色,重型货车,是,广东,湛江,雷州,龙门,G2005444,黄江,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/2/24 0:00:00,2018-11-02 21:07:27,110.8069,21.4337,已安装符合部标+北斗,是,2018-07-11,营运
1872,粤G93061,黄色,客运班车,是,广东,湛江,廉江,,G3000006,廉江市交通运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2017/9/27 13:58:51,2018-11-02 18:53:56,110.0197,21.7071,已安装符合部标+北斗,是,2018-01-22,营运
1873,粤GR7956,黄色,重型货车,是,广东,湛江,遂溪,遂城,G6009963,王国东,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2012/11/12 0:00:00,2018-11-02 21:06:37,109.6744,21.7276,已安装符合部标+北斗,是,2018-06-08,营运
1874,粤G38263,黄色,重型货车,是,广东,湛江,开发区,东山,G1059691,朱培全,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/7/3 10:30:11,2018-11-02 18:08:58,110.3908,21.0377,已安装符合部标+北斗,是,2018-07-18,营运
1875,粤G38260,黄色,重型货车,是,广东,湛江,廉江,新民,G3363483,廖锡培,1443364866,广东恒慧信息科技有限公司,10476,北斗,2018/6/19 10:59:44,2018-11-02 21:07:57,110.2321,21.5422,已安装符合部标+北斗,是,2018-06-20,营运
1876,粤G38265,,普通货运,是,广东,湛江,赤坎,市直,G1007630,湛江东利富房地产公司,,,,未知,2016/1/3 7:40:35,2016/3/30 20:18:04,116.148,23.3264,其他,是,,屏蔽
1877,粤G38265,黄色,危险货运,是,广东,湛江,吴川,浅水,G1048347,吴川市茂兴运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/7/26 11:47:39,2018-11-02 21:04:53,105.6146,23.6383,已安装符合部标+北斗,是,,营运
1878,粤G52568,黄色,,否,广东,湛江,,,,,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10765,北斗,2018/3/21 11:29:50,2018-11-02 21:07:49,110.3905,21.2481,已安装符合部标+北斗,是,,
1879,粤G52568,黄色,重型货车,是,广东,湛江,霞山,,G1027986,广东建龙混凝土有限公司,1443364879,湛江市瑞德电子科技有限公司,10730,北斗,2016/5/25 13:05:25,2018-11-02 21:07:49,110.3905,21.2481,已安装符合部标+北斗,是,2014-09-18,注销
1880,粤GU6487,黄色,客运班车,是,广东,湛江,廉江,,G3000001,广东省湛江汽车运输集团有限公司五0七车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/17 0:00:00,2018-11-02 21:03:41,110.0286,21.4516,已安装符合部标+北斗,是,2018-07-27,营运
1881,粤GU6488,黄色,客运班车,是,广东,湛江,廉江,,G3000001,广东省湛江汽车运输集团有限公司五0七车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/15 0:00:00,2018-11-02 21:02:52,110.0338,21.4617,已安装符合部标+北斗,是,2018-08-22,营运
1882,粤G52F79,蓝色,出租客运,是,广东,湛江,城区,,G1030326,湛江市东锐小汽车出租有限公司,1443364869,湛江丽普盾高新科技有限公司,10872,北斗,2016/11/30 18:07:18,2018-11-02 21:06:47,110.3996,21.2491,已安装符合部标+北斗,是,2018-09-05,营运
1883,粤G93070,黄色,重型货车,是,广东,湛江,麻章,麻章,G1033298,冯华娟,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2016/10/13 0:00:00,2018-11-02 21:08:36,110.3904,21.1786,已安装符合部标+北斗,是,2018-10-23,营运
1884,粤G93072,黄色,重型货车,是,广东,湛江,霞山,,G1048139,庞光明,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/11/3 16:40:40,2018-11-02 21:08:38,110.99,21.6228,已安装符合部标+北斗,是,2018-03-05,营运
1885,粤G40582,黄色,客运班车,是,广东,湛江,霞山,,A1080776,湛江市京通运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/8/15 11:19:17,2018-11-02 16:49:55,110.3882,21.188,已安装符合部标+北斗,是,2018-02-01,营运
1886,粤G58919,黄色,重型货车,是,广东,湛江,霞山,,G1047721,湛江市迪利达运输有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2011/6/2 0:00:00,2018/10/31 21:03:14,110.3723,21.1516,已安装符合部标+北斗,是,2018-09-20,营运
1887,粤G58916,黄色,重型货车,是,广东,湛江,坡头,龙头,G1038643,陈观富,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/4/13 0:00:00,2018-11-02 21:08:32,110.4088,21.1862,已安装符合部标+北斗,是,2018-07-12,营运
1888,粤G58915,黄色,重型货车,是,广东,湛江,赤坎,,G1046205,湛江市峰成玻璃有限公司,1443364869,湛江丽普盾高新科技有限公司,10765,北斗,2017/4/13 0:00:00,2018-11-02 21:07:23,110.3641,21.2969,已安装符合部标+北斗,是,2018-05-14,营运
1889,粤G50197,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2018/1/18 17:20:14,2018-11-02 21:08:13,110.3858,21.1772,已安装符合部标,是,2018-07-18,营运
1890,粤G58910,黄色,重型货车,是,广东,湛江,麻章,,G1048120,湛江众禾物流有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/4/12 0:00:00,2018-11-02 21:07:42,113.201,21.9659,已安装符合部标+北斗,是,2018-10-24,营运
1891,粤G58910,蓝色,普通货运,是,广东,湛江,麻章,麻章,G1026698,湛江市弘源药业有限公司,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2013-10-25,注销
1892,粤GF9878,黄色,重型货车,是,广东,湛江,赤坎,,G1047649,湛江市三盛储运有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/12/28 17:49:10,2018-11-02 21:08:49,110.3059,21.3316,已安装符合部标+北斗,是,2018-08-29,营运
1893,粤GF9878,蓝色,,否,广东,湛江,,,,,1443364874,湛江市东海恒诚交通科技有限公司,10162,JT808,,,0,0,未安装,否,,
1894,粤GF9880,黄色,重型货车,是,广东,湛江,雷州,新城,G2025774,林均珀,1443364875,广州航德信息科技有限公司,10476,北斗,2018/1/3 10:58:59,2018-11-02 21:09:20,112.6781,22.4557,已安装符合部标+北斗,是,2018-10-12,营运
1895,粤G45609,黄色,重型货车,是,广东,湛江,廉江,横山,G3363991,潘剑超,1443364877,广东北斗平台科技有限公司湛江分公司,10476,北斗,2018/9/21 9:43:20,2018-11-02 21:07:53,110.3943,21.1711,已安装符合部标+北斗,是,2018-09-25,营运
1896,粤G45609,蓝色,,否,广东,湛江,,,,,1443364874,湛江市东海恒诚交通科技有限公司,10005,JT808,,,0,0,未安装,否,,
1897,粤G46938,黄色,重型货车,是,广东,湛江,赤坎,,G1037878,王能宏,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2011/4/2 0:00:00,2018-11-02 20:32:39,110.3551,21.2407,已安装符合部标+北斗,是,2018-09-20,营运
1898,粤G45606,黄色,重型货车,是,广东,湛江,开发区,,G1044917,湛江泉海物流有限公司,1443364866,广东恒慧信息科技有限公司,10788,北斗,2010/9/3 0:00:00,2018-11-02 21:08:33,110.3522,21.1602,已安装符合部标+北斗,是,2018-06-07,营运
1899,粤G58927,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/4/20 0:00:00,2018-11-02 21:09:39,110.2829,21.2122,已安装符合部标,是,2018-07-31,营运
1900,粤G58928,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/4/20 0:00:00,2018-11-02 18:25:35,110.3857,21.177,已安装符合部标,是,2018-08-28,营运
1901,粤G58925,黄色,重型货车,是,广东,湛江,赤坎,,G1046205,湛江市峰成玻璃有限公司,1443364869,湛江丽普盾高新科技有限公司,10765,北斗,2017/4/13 0:00:00,2018-11-02 21:08:36,112.6797,22.4545,已安装符合部标+北斗,是,2018-05-15,营运
1902,粤G58926,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/4/13 0:00:00,2018-11-02 21:09:23,110.3494,21.1597,已安装符合部标,是,2018-06-21,营运
1903,粤G58923,黄色,重型货车,是,广东,湛江,霞山,,G1036948,蔡冯富,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/4/13 0:00:00,2018-11-02 21:09:02,110.1104,21.2454,已安装符合部标+北斗,是,2018-03-12,营运
1904,粤GF9887,黄色,重型货车,是,广东,湛江,雷州,,G2028429,陈巧江,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/1/9 10:36:17,2018-11-02 21:08:21,113.1525,23.1108,已安装符合部标+北斗,是,2018-07-10,营运
1905,粤GF9896,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2018/1/2 17:57:47,2018-11-02 21:09:11,109.9098,21.5569,已安装符合部标,是,2018-07-04,营运
1906,粤GF9892,黄色,,否,广东,湛江,廉江,,,,1443364866,广东恒慧信息科技有限公司,10498,JT808,2018/2/13 18:39:45,2018-11-02 21:09:51,110.3184,21.5345,已安装符合部标,是,,
1907,粤GFY536,蓝色,,否,广东,湛江,,,,,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2018/9/6 15:06:41,2018-11-02 21:10:00,110.3944,21.2092,已安装符合部标+北斗,是,,
1908,粤GF9859,黄色,重型货车,是,广东,湛江,廉江,,G3348586,李虾,1443364866,广东恒慧信息科技有限公司,10005,北斗,2018/3/13 16:55:19,2018/11/1 13:08:21,110.0785,21.4651,已安装符合部标+北斗,是,2018-09-25,营运
1909,粤GF9855,黄色,重型货车,是,广东,湛江,雷州,松竹,G2025732,卢永平,1443364875,广州航德信息科技有限公司,10476,北斗,2017/12/29 15:52:28,2018-11-02 11:43:51,110.3688,21.302,已安装符合部标+北斗,是,2018-10-24,营运
1910,粤G20D30,蓝色,,否,广东,湛江,,,,,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2018/2/2 21:07:03,2018-11-02 21:10:11,110.3902,21.2025,已安装符合部标+北斗,是,,
1911,粤GF9862,黄色,重型货车,是,广东,湛江,廉江,新民,G3361366,童雪林,1443364866,广东恒慧信息科技有限公司,10476,北斗,2018/1/12 10:28:10,2018-11-02 19:01:46,110.201,21.5523,已安装符合部标+北斗,是,2018-01-12,营运
1912,粤GF9860,黄色,旅游包车,是,广东,湛江,赤坎,,A1087667,湛江粤达汽车客运有限公司,1443364872,湛江粤嘉电子科技有限公司,10765,北斗,2018/1/16 1:54:41,2018-11-02 21:10:23,110.2871,21.1689,已安装符合部标+北斗,是,2018-10-17,营运
1913,粤G50173,黄色,客运班车,是,广东,湛江,霞山,,A1080776,湛江市京通运输有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2012/7/6 0:00:00,2018-11-02 18:19:36,111.0013,21.5098,已安装符合部标+北斗,是,2018-03-22,营运
1914,粤GR5615,黄色,客运班车,是,广东,湛江,遂溪,,G6000002,遂溪县陆通运输有限公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10765,北斗,2010/2/3 0:00:00,2018-11-02 21:09:54,110.0757,21.1713,已安装符合部标+北斗,是,2018-05-21,营运
1915,粤GR6947,黄色,重型货车,是,广东,湛江,遂溪,遂城,G6000854,遂溪县恒大运输有限公司,1443364869,湛江丽普盾高新科技有限公司,10765,北斗,2012/5/11 0:00:00,2018-11-02 21:06:47,110.0712,21.1522,已安装符合部标+北斗,是,2018-07-03,营运
1916,粤G58905,黄色,重型货车,是,广东,湛江,坡头,坡头,G1048298,吴建成,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2010/7/5 0:00:00,2018/10/30 17:25:37,109.7958,18.8817,已安装符合部标+北斗,是,2018-04-09,营运
1917,粤G58903,黄色,重型货车,是,广东,湛江,霞山,,G1032912,林志文,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2012/6/5 0:00:00,2018-11-02 18:49:56,110.3794,21.2041,已安装符合部标+北斗,是,2018-03-28,营运
1918,粤G58903,黄色,重型货车,是,广东,湛江,霞山,,G1032912,林志文,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2012/6/5 0:00:00,2018-11-02 18:49:56,110.3794,21.2041,已安装符合部标+北斗,是,2018-03-28,营运
1919,粤G50185,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2018/1/18 17:20:26,2018-11-02 21:10:25,110.3854,21.177,已安装符合部标,是,2018-05-15,营运
1920,粤GF9869,黄色,重型货车,是,广东,湛江,霞山,,G1031565,湛江市霞山铁达货运代理有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2018/2/9 17:40:06,2018-11-02 19:26:50,110.3695,21.1552,已安装符合部标+北斗,是,2018-09-27,营运
1921,粤G58902,黄色,重型货车,是,广东,湛江,霞山,,G1039051,湛江泰阳运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/4/13 0:00:00,2018-11-02 21:09:58,110.3866,21.1794,已安装符合部标,是,2018-03-02,营运
1922,粤G76798,蓝色,危险货运,是,广东,湛江,霞山,,G1005312,湛江市霞山新鸿达石化运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10162,JT808,2009/10/29 0:00:00,2018-11-02 21:10:58,110.3878,21.1733,已安装符合部标,是,2018-07-23,营运
1923,粤G58900,黄色,重型货车,是,广东,湛江,麻章,,G1048120,湛江众禾物流有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/4/12 0:00:00,2018-11-02 21:10:19,110.4838,21.0331,已安装符合部标+北斗,是,2018-02-23,营运
